Q9NP64,51538
Q9BVM2,25911
Q969L4,84967
Q9BRZ2,81844
Q86VF7,4892
Q5TA50,80772
Q92535,5279
Q9UFW8,8545
Q9H0V1,64418
Q9Y6H6,10008
Q9BTP7,91442
O75841,7348
Q96HA8,55093
Q92888,9138
P16591,2241
Q7Z465,149428
Q15759,5600
P02765,197
P49639,3198
Q8TDH9,63915
Q9UNE7,10273
Q92913,2258
Q99759,4215
O43374,10156
A8K6K1,9810
Q92565,9771
Q9UJW8,7733
P15976,2623
Q9Y277,7419
Q9UBC2,58513
Q8WZ19,253980
Q9NUM4,54664
Q9Y6B2,23741
Q5FYB0,79642
P50591,8743
Q0VD86,388324
Q96AY4,23331
Q9NVF7,23219
Q496Y0,79836
P78358,246100
Q9ULK6,57484
Q9H9G7,192669
Q9BXT4,56165
Q9Y2H1,23012
P52298,22916
Q9NZ42,55851
P62952,10904
Q9HC62,59343
Q68DV7,54894
Q92900,5976
P29033,2706
Q9BYR5,85291
P46108,1398
P46939,7402
O75563,8935
Q9BST9,6242
Q6W2J9,54880
Q14690,22984
Q76L83,55252
Q96MF2,246329
Q9NX24,55651
Q93088,635
Q92752,7143
Q6A162,125115
Q8TBK6,54819
Q9NXK8,54850
Q9NP81,54938
O60224,6759
P50148,2776
O75607,10360
Q12906,3609
Q9UFC0,222229
Q9H4K1,26150
Q9Y5S2,9578
P49901,4184
Q8WXD5,79833
Q9H9P5,64718
P35237,5269
Q7L099,22902
Q495Y8,441273
P51693,333
O14874,10295
P33176,3799
Q3B7J2,81577
Q96GG9,54165
Q70Z53,118924
Q9UNK0,9482
Q96HV5,90407
Q8WUY9,55789
Q9UBX5,10516
Q3SYF9,337974
O60930,246243
Q9BPZ3,51247
O43325,57149
P11532,1756
B2RCU6,5063
P0C862,338872
Q9NPA8,56943
Q8WWZ7,23461
O95832,9076
P13942,1302
P40925,4190
Q9NVD7,55742
P40121,822
P55010,1983
P78406,8480
Q9Y234,51601
Q9HBL8,57407
P48436,6662
O95988,9623
Q13145,25805
Q9NXF1,54881
P30536,706
Q9NZ72,50861
P15104,2752
Q8TF72,57619
P07098,8513
Q8WU20,10818
Q8N5H7,10044
Q9H832,65264
P25705,498
Q86Y79,138428
Q08499,5144
Q16829,1849
P81877,23635
Q8N9S9,169166
P56537,3692
Q66GS9,9662
Q9Y6R4,4216
Q9P016,29087
O00148,10212
Q6N075,84975
Q9UMZ2,11276
V9HW60,27232
Q9H6R4,65083
Q9H4M3,93611
Q8WUQ7,58509
Q15672,7291
O43493,10618
Q8N8B7,170082
Q8WY64,29116
Q9BSH5,81932
Q6UXH8,147372
P50995,311
Q9UMX3,666
P16885,5336
Q15884,9413
Q15276,9135
Q969T3,90203
P11388,7153
Q99459,988
O60512,8703
P13693,7178
Q9UHI7,9963
Q9UGQ2,11094
P13073,1327
Q9NW82,55100
Q8WVJ2,134492
Q9P0J6,64979
Q13702,5913
P21291,1465
P53816,11145
Q9UK58,57018
Q15369,6921
Q9H3D4,8626
Q96N03,128434
Q8NDH3,79716
P63162,8926
Q9UJY5,26088
Q3ZCT1,339324
Q8WYB5,23522
Q9Y337,25818
Q5I0X4,441150
Q9Y2J0,22895
P23469,5791
Q9Y6Y0,10625
Q9UP83,10466
Q08397,4016
Q9H6U8,79796
O43482,11339
Q96CB9,387338
P68366,7277
O95166,11337
P11712,1559
